State,District,Soil Type,Crop Type,Best Time of Harvest,Crop_Yield_ton,Temperature_C,Rainfall_mm,Suitable Fertilizer,Suitable Pesticide,Irrigation Method,Next Crop
Punjab,Jalandhar,Alluvial,Cotton,August-September,5.9098,10.6,534.8,Potash,Imidacloprid,Furrow Irrigation,Maize
Punjab,Amritsar,Loamy,Sugarcane,October-November,5.9098,33.3,333.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Nashik,Black,Jowar,August-September,5.9098,41.5,755.8,Zinc Sulfate,Dimethoate,Traditional Method,Wheat
Tamil Nadu,Trichy,Red,Coffee,March-April,5.9098,27.2,646.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Cotton
West Bengal,Kolkata,Sandy,Tea,March-April,5.9098,35.5,1800.4,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Rajasthan,Jodhpur,Sandy,Sugarcane,October-November,5.9098,18.1,112.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Gujarat,Surat,Laterite,Sugarcane,September-October,5.9098,37.3,601.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Bihar,Muzaffarpur,Black,Pulses,September-October,5.9098,20.0,782.1,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
West Bengal,Darjeeling,Red,Maize,December-January,5.9098,21.1,1631.4,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Punjab,Patiala,Black,Coffee,August-September,5.9098,13.8,457.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Rajasthan,Jaipur,Red,Tea,August-September,5.9098,12.7,347.2,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Maharashtra,Nagpur,Loamy,Pulses,September-October,5.9098,18.9,1182.6,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Tamil Nadu,Chennai,Alluvial,Bajra,October-November,5.9098,27.3,1177.3,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Punjab,Amritsar,Sandy,Wheat,September-October,5.231,29.5,655.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Maharashtra,Nagpur,Alluvial,Pulses,December-January,5.9098,29.8,955.1,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Rajasthan,Kota,Laterite,Bajra,December-January,5.9098,14.4,179.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Bihar,Muzaffarpur,Alluvial,Coffee,March-April,5.9098,31.3,720.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Maize
West Bengal,Kolkata,Alluvial,Sugarcane,October-November,5.9098,34.7,1033.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Mumbai,Laterite,Pulses,August-September,5.9098,39.7,1163.0,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
Madhya Pradesh,Gwalior,Sandy,Tea,October-November,5.9098,27.8,399.3,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
West Bengal,Siliguri,Black,Wheat,October-November,5.231,28.7,1193.6,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Gujarat,Vadodara,Black,Sugarcane,March-April,5.9098,20.5,647.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
West Bengal,Siliguri,Loamy,Bajra,March-April,5.9098,27.7,1696.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Agra,Sandy,Sugarcane,October-November,5.9098,36.7,1094.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Maharashtra,Nashik,Red,Jowar,August-September,5.9098,41.8,839.9,Zinc Sulfate,Dimethoate,Traditional Method,Pulses
Maharashtra,Mumbai,Loamy,Wheat,March-April,5.231,35.0,902.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Jaipur,Black,Sugarcane,March-April,5.9098,39.6,323.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Gujarat,Rajkot,Sandy,Wheat,March-April,5.231,41.9,745.1,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Madhya Pradesh,Indore,Black,Tea,March-April,5.9098,38.0,631.9,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Uttar Pradesh,Kanpur,Loamy,Rice,March-April,6.6054,15.0,639.6,DAP,Carbendazim,Terrace Farming,Barley
Maharashtra,Nagpur,Laterite,Maize,September-October,5.9098,22.1,596.6,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Madhya Pradesh,Indore,Alluvial,Rice,August-September,6.6054,26.1,659.1,DAP,Carbendazim,Terrace Farming,Maize
Gujarat,Rajkot,Loamy,Wheat,October-November,5.231,32.1,228.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Uttar Pradesh,Agra,Alluvial,Jowar,December-January,5.9098,28.3,1092.8,Zinc Sulfate,Dimethoate,Traditional Method,Maize
Maharashtra,Nashik,Sandy,Jowar,August-September,5.9098,29.0,913.0,Zinc Sulfate,Dimethoate,Traditional Method,Bajra
Karnataka,Mysore,Red,Rice,September-October,6.6054,18.3,809.8,DAP,Carbendazim,Terrace Farming,Pulses
Gujarat,Ahmedabad,Red,Maize,September-October,5.9098,17.7,559.9,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
West Bengal,Howrah,Sandy,Cotton,March-April,5.9098,22.7,1926.1,Potash,Imidacloprid,Furrow Irrigation,Bajra
West Bengal,Kolkata,Laterite,Cotton,August-September,5.9098,18.9,899.6,Potash,Imidacloprid,Furrow Irrigation,Mixed Vegetables
Gujarat,Vadodara,Sandy,Pulses,March-April,5.9098,26.5,455.6,Bio-fertilizer,Mancozeb,Traditional Method,Vegetables
West Bengal,Darjeeling,Sandy,Rice,December-January,6.6054,32.9,1015.9,DAP,Carbendazim,Terrace Farming,Bajra
Bihar,Gaya,Laterite,Jowar,October-November,5.9098,16.4,1139.1,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Madhya Pradesh,Bhopal,Black,Wheat,August-September,5.231,39.9,827.2,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Punjab,Patiala,Laterite,Rice,December-January,6.6054,29.3,628.3,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Madhya Pradesh,Gwalior,Alluvial,Pulses,August-September,5.9098,35.4,750.8,Bio-fertilizer,Mancozeb,Traditional Method,Maize
Rajasthan,Jaipur,Black,Coffee,December-January,5.9098,41.7,289.8,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Madhya Pradesh,Jabalpur,Loamy,Tea,September-October,5.9098,36.4,633.3,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Rajasthan,Jodhpur,Red,Bajra,October-November,5.9098,7.6,211.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Tamil Nadu,Coimbatore,Black,Sugarcane,March-April,5.9098,31.4,1369.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Wheat
Rajasthan,Jodhpur,Red,Sugarcane,September-October,5.9098,18.6,291.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Tamil Nadu,Trichy,Sandy,Rice,October-November,6.6054,33.9,875.0,DAP,Carbendazim,Terrace Farming,Bajra
Punjab,Ludhiana,Loamy,Bajra,August-September,5.9098,39.1,679.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Maharashtra,Pune,Black,Pulses,September-October,5.9098,32.7,672.0,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
West Bengal,Kolkata,Sandy,Cotton,October-November,5.9098,29.2,1399.8,Potash,Imidacloprid,Furrow Irrigation,Bajra
Bihar,Gaya,Laterite,Rice,August-September,6.6054,29.6,1038.6,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
West Bengal,Kolkata,Red,Cotton,September-October,5.9098,35.8,1824.6,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Bihar,Gaya,Black,Rice,October-November,6.6054,34.0,961.7,DAP,Carbendazim,Terrace Farming,Wheat
Bihar,Gaya,Alluvial,Tea,August-September,5.9098,14.1,793.3,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Uttar Pradesh,Kanpur,Laterite,Wheat,September-October,5.231,35.0,498.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Punjab,Patiala,Red,Wheat,March-April,5.231,15.9,376.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Tamil Nadu,Trichy,Sandy,Maize,August-September,5.9098,33.0,842.4,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
West Bengal,Howrah,Sandy,Maize,October-November,5.9098,23.7,1234.0,NPK,Cypermethrin,Sprinkler Irrigation,Bajra
Bihar,Bhagalpur,Red,Pulses,August-September,5.9098,21.2,858.3,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
West Bengal,Kolkata,Sandy,Sugarcane,September-October,5.9098,26.4,1805.6,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Tamil Nadu,Coimbatore,Alluvial,Bajra,March-April,5.9098,22.0,972.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
Punjab,Patiala,Laterite,Tea,December-January,5.9098,28.6,508.7,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
Rajasthan,Udaipur,Red,Wheat,December-January,5.231,19.1,203.9,Urea,Chlorpyrifos,Sprinkler Irrigation,Pulses
Karnataka,Hubli,Loamy,Sugarcane,March-April,5.9098,19.4,1023.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Nagpur,Loamy,Wheat,December-January,5.231,24.9,1190.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Maize
Rajasthan,Kota,Black,Maize,August-September,5.9098,26.0,493.9,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Uttar Pradesh,Kanpur,Loamy,Sugarcane,August-September,5.9098,23.0,568.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Maharashtra,Pune,Black,Bajra,December-January,5.9098,25.4,966.6,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Maharashtra,Mumbai,Black,Tea,September-October,5.9098,41.2,718.9,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Madhya Pradesh,Gwalior,Black,Tea,March-April,5.9098,41.3,568.3,Organic Compost,Thiamethoxam,Drip Irrigation,Wheat
Bihar,Patna,Laterite,Wheat,March-April,5.231,24.9,874.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Mixed Vegetables
Rajasthan,Jaipur,Laterite,Coffee,December-January,5.9098,33.0,430.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Tamil Nadu,Chennai,Alluvial,Wheat,October-November,5.231,34.4,1486.8,Urea,Chlorpyrifos,Sprinkler Irrigation,Rice
Punjab,Amritsar,Sandy,Cotton,September-October,5.9098,22.6,350.7,Potash,Imidacloprid,Furrow Irrigation,Bajra
Bihar,Bhagalpur,Laterite,Maize,March-April,5.9098,21.0,1205.3,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Bihar,Gaya,Loamy,Rice,March-April,6.6054,37.0,1264.1,DAP,Carbendazim,Terrace Farming,Barley
Punjab,Jalandhar,Alluvial,Bajra,December-January,5.9098,33.5,640.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
West Bengal,Darjeeling,Red,Cotton,December-January,5.9098,34.1,1997.6,Potash,Imidacloprid,Furrow Irrigation,Sugarcane
Bihar,Gaya,Red,Maize,August-September,5.9098,33.8,1174.4,NPK,Cypermethrin,Sprinkler Irrigation,Pulses
Uttar Pradesh,Agra,Laterite,Coffee,August-September,5.9098,17.4,691.5,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Maharashtra,Nashik,Laterite,Bajra,March-April,5.9098,36.6,682.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Mixed Vegetables
Karnataka,Belgaum,Laterite,Jowar,October-November,5.9098,23.2,1224.2,Zinc Sulfate,Dimethoate,Traditional Method,Mixed Vegetables
Rajasthan,Udaipur,Loamy,Bajra,September-October,5.9098,40.1,400.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Karnataka,Hubli,Red,Tea,September-October,5.9098,23.5,1444.4,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Uttar Pradesh,Agra,Black,Coffee,September-October,5.9098,30.4,506.1,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Wheat
Tamil Nadu,Madurai,Sandy,Wheat,December-January,5.231,30.8,1402.7,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Punjab,Jalandhar,Sandy,Tea,August-September,5.9098,23.4,655.0,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Punjab,Patiala,Sandy,Tea,September-October,5.9098,19.7,349.9,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Tamil Nadu,Coimbatore,Laterite,Sugarcane,December-January,5.9098,22.8,1238.8,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
West Bengal,Siliguri,Sandy,Coffee,March-April,5.9098,25.6,944.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
Gujarat,Vadodara,Red,Sugarcane,March-April,5.9098,26.8,358.1,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Karnataka,Bangalore,Loamy,Coffee,March-April,5.9098,30.0,1517.2,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Pulses
West Bengal,Kolkata,Sandy,Wheat,October-November,5.231,31.0,1045.3,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Karnataka,Belgaum,Laterite,Sugarcane,December-January,5.9098,20.8,1344.2,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Bihar,Muzaffarpur,Sandy,Bajra,December-January,5.9098,21.5,764.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Bajra
Bihar,Muzaffarpur,Red,Bajra,September-October,5.9098,28.1,897.1,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Rajasthan,Jodhpur,Sandy,Wheat,March-April,5.231,25.0,328.4,Urea,Chlorpyrifos,Sprinkler Irrigation,Bajra
Karnataka,Bangalore,Sandy,Coffee,September-October,5.9098,29.2,684.4,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Bajra
West Bengal,Howrah,Laterite,Tea,August-September,5.9098,24.1,1231.4,Organic Compost,Thiamethoxam,Drip Irrigation,Mixed Vegetables
West Bengal,Howrah,Loamy,Pulses,October-November,5.9098,26.4,1886.2,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
Gujarat,Vadodara,Black,Wheat,March-April,5.231,36.4,679.0,Urea,Chlorpyrifos,Sprinkler Irrigation,Wheat
Rajasthan,Jaipur,Alluvial,Maize,September-October,5.9098,18.9,498.7,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Gujarat,Surat,Laterite,Coffee,August-September,5.9098,12.9,776.6,Calcium Nitrate,Copper Oxychloride,Drip Irrigation,Mixed Vegetables
Madhya Pradesh,Bhopal,Loamy,Cotton,March-April,5.9098,13.6,450.5,Potash,Imidacloprid,Furrow Irrigation,Pulses
Maharashtra,Mumbai,Laterite,Maize,August-September,5.9098,27.7,1025.0,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Madhya Pradesh,Jabalpur,Sandy,Sugarcane,March-April,5.9098,38.0,778.3,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Bajra
Gujarat,Vadodara,Black,Maize,August-September,5.9098,40.1,583.8,NPK,Cypermethrin,Sprinkler Irrigation,Wheat
Tamil Nadu,Trichy,Alluvial,Sugarcane,December-January,5.9098,23.9,1224.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Madhya Pradesh,Indore,Sandy,Tea,September-October,5.9098,11.0,613.1,Organic Compost,Thiamethoxam,Drip Irrigation,Bajra
Rajasthan,Jaipur,Black,Pulses,September-October,5.9098,17.6,468.9,Bio-fertilizer,Mancozeb,Traditional Method,Wheat
Maharashtra,Nashik,Red,Bajra,October-November,5.9098,16.3,853.0,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Pulses
Uttar Pradesh,Varanasi,Laterite,Rice,September-October,6.6054,28.5,810.2,DAP,Carbendazim,Terrace Farming,Mixed Vegetables
Bihar,Gaya,Loamy,Pulses,August-September,5.9098,23.6,1236.7,Bio-fertilizer,Mancozeb,Traditional Method,Pulses
West Bengal,Siliguri,Laterite,Sugarcane,September-October,5.9098,36.5,1854.9,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Maharashtra,Pune,Alluvial,Maize,August-September,5.9098,15.3,536.8,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Uttar Pradesh,Varanasi,Black,Bajra,October-November,5.9098,11.3,562.8,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Groundnut
Bihar,Bhagalpur,Alluvial,Bajra,September-October,5.9098,27.6,842.2,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
West Bengal,Darjeeling,Laterite,Pulses,September-October,5.9098,20.3,966.8,Bio-fertilizer,Mancozeb,Traditional Method,Mixed Vegetables
West Bengal,Howrah,Red,Rice,September-October,6.6054,33.6,1904.0,DAP,Carbendazim,Terrace Farming,Pulses
Punjab,Amritsar,Red,Tea,October-November,5.9098,25.4,666.5,Organic Compost,Thiamethoxam,Drip Irrigation,Pulses
Madhya Pradesh,Indore,Alluvial,Tea,October-November,5.9098,34.4,500.7,Organic Compost,Thiamethoxam,Drip Irrigation,Maize
Maharashtra,Nagpur,Laterite,Maize,August-September,5.9098,15.9,914.4,NPK,Cypermethrin,Sprinkler Irrigation,Mixed Vegetables
Punjab,Ludhiana,Loamy,Cotton,December-January,5.9098,16.6,329.0,Potash,Imidacloprid,Furrow Irrigation,Pulses
Maharashtra,Nashik,Laterite,Sugarcane,September-October,5.9098,34.5,931.4,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Mixed Vegetables
Karnataka,Bangalore,Red,Sugarcane,September-October,5.9098,19.1,853.7,Super Phosphate,Chlorantraniliprole,Furrow Irrigation,Pulses
Karnataka,Belgaum,Alluvial,Maize,September-October,5.9098,34.9,1067.8,NPK,Cypermethrin,Sprinkler Irrigation,Maize
Bihar,Gaya,Alluvial,Bajra,December-January,5.9098,14.1,769.9,Ammonium Sulfate,Lambda-cyhalothrin,Traditional Method,Maize
