State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare),Ymax (kg/hectare),Ky,ETm (mm),ETa (mm)
Madhya Pradesh,Central,Sandy,Pulses,7.05,22.5,70.1,58.8,9.4,4:00 PM - 7:00 PM,3903.3,Furrow Irrigation,Tea,DAP,Bone Meal,4270.1,3000.0,0.75,400.0,390.33000000000004
Rajasthan,West,Loamy,Maize,9.17,24.5,70.6,61.9,12.4,4:00 PM - 7:00 PM,7208.3,Surface Irrigation,Tea,Urea,Neem Cake,524.5,12000.0,1.1,500.0,720.83
Haryana,North,Sandy,Groundnut,5.49,27.3,83.2,59.1,10.8,7:00 PM - 10:00 PM,8848.7,Drip Irrigation,Pulses,DAP,Seaweed Extract,7933.7,,,,884.8700000000001
Punjab,North,Loamy,Groundnut,9.81,29.8,86.9,82.3,8.2,4:00 PM - 7:00 PM,5280.4,Sprinkler Irrigation,Maize,MOP,Cow Manure,5941.0,,,,528.04
West Bengal,East,Sandy,Groundnut,3.68,31.7,121.6,74.0,6.5,7:00 PM - 10:00 PM,6604.7,Furrow Irrigation,Wheat,MOP,Green Manure,7546.2,,,,660.47
West Bengal,East,Saline,Groundnut,5.15,23.2,216.0,60.8,11.9,7:00 PM - 10:00 PM,5478.8,Sprinkler Irrigation,Maize,MOP,Neem Cake,7314.0,,,,547.88
Tamil Nadu,South,Loamy,Pulses,9.95,17.6,286.5,59.4,7.3,5:00 AM - 8:00 AM,4434.1,Drip Irrigation,Wheat,DAP,Neem Cake,866.1,3000.0,0.75,400.0,443.41
Tamil Nadu,South,Clay,Cotton,7.89,32.8,163.7,41.2,8.9,5:00 AM - 8:00 AM,7321.3,Furrow Irrigation,Wheat,MOP,Green Manure,7535.8,5000.0,0.85,600.0,732.13
Haryana,North,Saline,Pulses,7.93,17.8,215.2,66.7,13.7,4:00 PM - 7:00 PM,3019.9,Sprinkler Irrigation,Groundnut,Urea,Green Manure,6416.8,3000.0,0.75,400.0,301.99
Tamil Nadu,South,Silt,Rice,8.8,33.4,53.3,57.7,4.7,7:00 PM - 10:00 PM,8095.2,Furrow Irrigation,Groundnut,Biofertilizer,Green Manure,5082.6,10000.0,1.25,900.0,809.52
Gujarat,West,Loamy,Maize,8.24,15.7,159.4,84.1,10.2,7:00 PM - 10:00 PM,6592.7,Surface Irrigation,Maize,Urea,Cow Manure,939.8,12000.0,1.1,500.0,659.27
Madhya Pradesh,Central,Saline,Maize,3.75,23.5,57.9,51.7,12.0,5:00 AM - 8:00 AM,9505.3,Drip Irrigation,Maize,Compost,Cow Manure,1071.9,12000.0,1.1,500.0,950.53
Madhya Pradesh,Central,Peaty,Pulses,5.05,15.5,89.8,70.5,5.6,5:00 AM - 8:00 AM,2658.1,Drip Irrigation,Pulses,Compost,Seaweed Extract,2933.1,3000.0,0.75,400.0,265.81
Tamil Nadu,South,Saline,Tea,2.68,32.7,117.8,60.3,5.7,4:00 PM - 7:00 PM,5952.9,Furrow Irrigation,Groundnut,Urea,Cow Manure,3329.9,4000.0,1.05,700.0,595.29
Madhya Pradesh,Central,Peaty,Soybean,4.44,25.7,246.6,88.0,13.2,7:00 PM - 10:00 PM,2511.8,Furrow Irrigation,Maize,Urea,Neem Cake,7754.5,,,,251.18
Haryana,North,Silt,Sugarcane,6.35,32.0,51.9,59.7,14.0,4:00 PM - 7:00 PM,1733.6,Furrow Irrigation,Maize,DAP,Bone Meal,7800.0,120000.0,1.3,1500.0,173.35999999999999
Haryana,North,Saline,Wheat,2.07,15.0,193.5,71.4,12.4,5:00 AM - 8:00 AM,7543.7,Surface Irrigation,Soybean,Urea,Green Manure,3147.3,8000.0,1.15,450.0,754.37
Maharashtra,West,Silt,Pulses,5.62,23.7,195.3,80.7,11.2,4:00 PM - 7:00 PM,6236.0,Drip Irrigation,Pulses,Urea,Seaweed Extract,724.1,3000.0,0.75,400.0,623.6
Haryana,North,Sandy,Sugarcane,3.42,37.3,150.3,66.3,4.7,4:00 PM - 7:00 PM,7067.2,Surface Irrigation,Rice,Compost,Cow Manure,3632.3,120000.0,1.3,1500.0,706.72
Gujarat,West,Sandy,Barley,8.9,29.2,213.0,81.9,10.9,7:00 PM - 10:00 PM,8020.7,Surface Irrigation,Sugarcane,Compost,Cow Manure,5900.4,,,,802.0699999999999
West Bengal,East,Silt,Tea,2.27,28.5,263.1,43.9,12.8,7:00 PM - 10:00 PM,7643.3,Drip Irrigation,Pulses,Biofertilizer,Neem Cake,3834.0,4000.0,1.05,700.0,764.33
West Bengal,East,Saline,Maize,7.05,31.8,148.5,87.1,5.7,7:00 PM - 10:00 PM,2305.5,Drip Irrigation,Groundnut,Vermicompost,Neem Cake,7335.7,12000.0,1.1,500.0,230.55
Maharashtra,West,Loamy,Groundnut,3.36,16.4,281.4,73.5,12.2,7:00 PM - 10:00 PM,8144.0,Furrow Irrigation,Tea,Biofertilizer,Cow Manure,814.3,,,,814.4
Madhya Pradesh,Central,Sandy,Rice,5.53,18.5,55.2,49.8,7.5,5:00 AM - 8:00 AM,3496.7,Furrow Irrigation,Sugarcane,MOP,Cow Manure,6142.5,10000.0,1.25,900.0,349.66999999999996
Maharashtra,West,Loamy,Sugarcane,9.27,29.6,101.1,58.8,14.4,4:00 PM - 7:00 PM,8035.4,Furrow Irrigation,Tea,Biofertilizer,Neem Cake,1435.7,120000.0,1.3,1500.0,803.54
Uttar Pradesh,North,Saline,Tea,2.4,40.0,121.9,48.5,3.1,7:00 PM - 10:00 PM,5519.0,Drip Irrigation,Tea,Compost,Neem Cake,5650.0,4000.0,1.05,700.0,551.9
Karnataka,South,Silt,Cotton,2.28,23.9,144.4,40.1,9.4,7:00 PM - 10:00 PM,5106.0,Surface Irrigation,Cotton,Biofertilizer,Green Manure,7921.0,5000.0,0.85,600.0,510.6
Haryana,North,Clay,Barley,1.67,16.1,162.4,78.7,9.1,5:00 AM - 8:00 AM,2720.1,Sprinkler Irrigation,Groundnut,Vermicompost,Green Manure,5757.1,,,,272.01
Maharashtra,West,Loamy,Soybean,3.51,37.3,292.2,47.5,3.8,4:00 PM - 7:00 PM,7978.5,Surface Irrigation,Wheat,Urea,Neem Cake,3538.9,,,,797.85
Punjab,North,Silt,Groundnut,8.33,18.1,263.5,62.2,13.3,4:00 PM - 7:00 PM,4656.1,Furrow Irrigation,Sugarcane,Urea,Green Manure,2551.9,,,,465.61
Haryana,North,Loamy,Barley,6.53,16.7,162.0,49.0,9.7,5:00 AM - 8:00 AM,5213.5,Furrow Irrigation,Sugarcane,Compost,Cow Manure,7763.6,,,,521.35
Punjab,North,Peaty,Pulses,9.3,18.3,257.6,65.8,8.4,4:00 PM - 7:00 PM,5298.6,Sprinkler Irrigation,Soybean,MOP,Seaweed Extract,2215.6,3000.0,0.75,400.0,529.86
Punjab,North,Saline,Wheat,1.81,20.4,249.2,40.8,14.3,7:00 PM - 10:00 PM,3720.2,Drip Irrigation,Rice,MOP,Cow Manure,1716.6,8000.0,1.15,450.0,372.02
Maharashtra,West,Sandy,Cotton,3.56,25.9,157.0,51.3,3.8,7:00 PM - 10:00 PM,3818.2,Sprinkler Irrigation,Tea,Urea,Neem Cake,2027.4,5000.0,0.85,600.0,381.82
West Bengal,East,Clay,Sugarcane,5.74,27.0,66.4,40.4,8.4,4:00 PM - 7:00 PM,9306.9,Surface Irrigation,Sugarcane,MOP,Seaweed Extract,2451.5,120000.0,1.3,1500.0,930.6899999999999
Punjab,North,Peaty,Pulses,5.24,27.1,280.8,71.8,10.0,5:00 AM - 8:00 AM,9499.9,Surface Irrigation,Soybean,Urea,Green Manure,5964.1,3000.0,0.75,400.0,949.99
West Bengal,East,Peaty,Maize,1.44,23.8,216.5,62.0,11.6,5:00 AM - 8:00 AM,3571.8,Surface Irrigation,Pulses,Compost,Neem Cake,1427.1,12000.0,1.1,500.0,357.18
Haryana,North,Peaty,Groundnut,5.18,15.1,55.3,83.6,11.8,7:00 PM - 10:00 PM,5837.1,Drip Irrigation,Barley,DAP,Seaweed Extract,7494.7,,,,583.71
Punjab,North,Peaty,Soybean,9.22,31.0,142.3,64.5,8.3,4:00 PM - 7:00 PM,9269.0,Sprinkler Irrigation,Cotton,Compost,Neem Cake,3093.7,,,,926.9
Punjab,North,Peaty,Tea,4.94,26.2,144.7,50.7,10.5,5:00 AM - 8:00 AM,2467.8,Furrow Irrigation,Rice,MOP,Cow Manure,831.2,4000.0,1.05,700.0,246.78000000000003
Gujarat,West,Clay,Sugarcane,5.47,29.4,139.2,58.2,13.7,5:00 AM - 8:00 AM,5269.2,Surface Irrigation,Soybean,Vermicompost,Neem Cake,5577.6,120000.0,1.3,1500.0,526.92
Rajasthan,West,Sandy,Barley,3.2,39.7,220.7,57.6,10.3,4:00 PM - 7:00 PM,1679.0,Surface Irrigation,Groundnut,Biofertilizer,Seaweed Extract,6450.4,,,,167.9
Haryana,North,Saline,Pulses,9.61,16.2,233.2,87.1,5.5,7:00 PM - 10:00 PM,8757.6,Furrow Irrigation,Barley,Urea,Bone Meal,5171.6,3000.0,0.75,400.0,875.76
Madhya Pradesh,Central,Sandy,Wheat,1.71,20.4,274.4,64.2,3.5,7:00 PM - 10:00 PM,1498.8,Surface Irrigation,Barley,Compost,Cow Manure,5736.8,8000.0,1.15,450.0,149.88
Maharashtra,West,Silt,Maize,4.29,22.8,113.0,79.0,9.7,5:00 AM - 8:00 AM,2859.3,Drip Irrigation,Groundnut,MOP,Seaweed Extract,768.6,12000.0,1.1,500.0,285.93
West Bengal,East,Silt,Soybean,7.81,23.0,207.4,45.0,8.7,5:00 AM - 8:00 AM,4496.2,Furrow Irrigation,Soybean,Urea,Cow Manure,2028.3,,,,449.62
Punjab,North,Saline,Pulses,8.5,28.7,170.6,44.2,4.9,7:00 PM - 10:00 PM,4576.2,Surface Irrigation,Rice,MOP,Cow Manure,2846.5,3000.0,0.75,400.0,457.62
Maharashtra,West,Clay,Soybean,3.33,22.9,232.4,75.8,5.2,7:00 PM - 10:00 PM,6295.2,Sprinkler Irrigation,Groundnut,DAP,Neem Cake,3620.0,,,,629.52
Rajasthan,West,Silt,Cotton,8.19,23.7,293.6,64.6,4.5,4:00 PM - 7:00 PM,4262.4,Surface Irrigation,Maize,DAP,Green Manure,7744.0,5000.0,0.85,600.0,426.23999999999995
Rajasthan,West,Silt,Groundnut,2.8,33.9,114.4,66.4,4.2,7:00 PM - 10:00 PM,9432.8,Sprinkler Irrigation,Tea,Urea,Green Manure,5805.4,,,,943.28
Punjab,North,Silt,Rice,7.05,30.7,218.4,49.6,7.5,4:00 PM - 7:00 PM,8332.9,Sprinkler Irrigation,Barley,Biofertilizer,Green Manure,7680.9,10000.0,1.25,900.0,833.29
Gujarat,West,Clay,Cotton,6.62,33.6,88.6,71.4,13.5,4:00 PM - 7:00 PM,8006.7,Drip Irrigation,Pulses,MOP,Neem Cake,1338.8,5000.0,0.85,600.0,800.67
Punjab,North,Silt,Maize,4.31,15.4,254.9,56.3,4.0,7:00 PM - 10:00 PM,7819.6,Surface Irrigation,Maize,Urea,Green Manure,4465.8,12000.0,1.1,500.0,781.96
Maharashtra,West,Loamy,Groundnut,7.85,19.1,99.7,85.6,12.6,5:00 AM - 8:00 AM,8732.9,Furrow Irrigation,Groundnut,Biofertilizer,Cow Manure,6331.0,,,,873.29
Karnataka,South,Saline,Wheat,3.42,19.0,292.1,64.9,5.2,7:00 PM - 10:00 PM,6932.1,Furrow Irrigation,Sugarcane,MOP,Bone Meal,4743.4,8000.0,1.15,450.0,693.21
Gujarat,West,Silt,Barley,3.9,37.1,140.6,62.8,9.6,7:00 PM - 10:00 PM,4461.5,Sprinkler Irrigation,Rice,Vermicompost,Seaweed Extract,6608.8,,,,446.15
Karnataka,South,Saline,Sugarcane,1.75,39.8,292.7,83.7,3.0,4:00 PM - 7:00 PM,4840.8,Furrow Irrigation,Tea,MOP,Bone Meal,6043.8,120000.0,1.3,1500.0,484.08000000000004
Maharashtra,West,Sandy,Groundnut,3.19,29.4,99.1,73.2,4.5,4:00 PM - 7:00 PM,8205.9,Sprinkler Irrigation,Maize,Urea,Seaweed Extract,4183.6,,,,820.5899999999999
Gujarat,West,Loamy,Groundnut,7.4,22.4,107.3,60.6,3.9,5:00 AM - 8:00 AM,8545.3,Sprinkler Irrigation,Sugarcane,Biofertilizer,Bone Meal,3978.7,,,,854.53
Haryana,North,Loamy,Barley,8.12,33.6,164.4,77.8,11.6,7:00 PM - 10:00 PM,8016.9,Sprinkler Irrigation,Barley,Biofertilizer,Seaweed Extract,4176.8,,,,801.6899999999999
Haryana,North,Sandy,Rice,5.18,36.1,122.7,77.4,13.1,5:00 AM - 8:00 AM,5727.6,Sprinkler Irrigation,Sugarcane,Compost,Cow Manure,4508.4,10000.0,1.25,900.0,572.76
Rajasthan,West,Saline,Wheat,8.83,26.2,62.8,61.4,14.1,4:00 PM - 7:00 PM,7356.7,Surface Irrigation,Rice,Compost,Bone Meal,7861.3,8000.0,1.15,450.0,735.67
West Bengal,East,Sandy,Tea,1.21,25.8,239.2,66.3,4.7,4:00 PM - 7:00 PM,3540.1,Furrow Irrigation,Rice,DAP,Neem Cake,5900.7,4000.0,1.05,700.0,354.01
Tamil Nadu,South,Peaty,Sugarcane,9.87,17.7,192.2,65.4,11.1,4:00 PM - 7:00 PM,1444.9,Surface Irrigation,Soybean,Urea,Green Manure,7513.5,120000.0,1.3,1500.0,144.49
Karnataka,South,Saline,Wheat,0.59,37.7,283.4,69.0,7.0,4:00 PM - 7:00 PM,1064.7,Furrow Irrigation,Barley,Biofertilizer,Bone Meal,2069.0,8000.0,1.15,450.0,106.47
Gujarat,West,Sandy,Groundnut,7.76,33.8,76.6,42.4,4.5,7:00 PM - 10:00 PM,2002.2,Sprinkler Irrigation,Groundnut,Compost,Neem Cake,5894.1,,,,200.22
Gujarat,West,Clay,Barley,1.31,36.6,228.0,65.8,5.7,7:00 PM - 10:00 PM,8246.7,Furrow Irrigation,Rice,Compost,Neem Cake,5818.7,,,,824.6700000000001
Karnataka,South,Silt,Tea,5.45,33.3,171.8,71.9,14.2,4:00 PM - 7:00 PM,4920.8,Furrow Irrigation,Sugarcane,Vermicompost,Cow Manure,3163.8,4000.0,1.05,700.0,492.08000000000004
Haryana,North,Clay,Sugarcane,6.8,26.6,127.3,53.1,8.6,4:00 PM - 7:00 PM,8309.8,Surface Irrigation,Tea,Vermicompost,Seaweed Extract,4642.1,120000.0,1.3,1500.0,830.9799999999999
Gujarat,West,Sandy,Barley,7.59,35.7,111.0,50.6,14.9,7:00 PM - 10:00 PM,7187.4,Surface Irrigation,Cotton,Compost,Neem Cake,7883.3,,,,718.74
Tamil Nadu,South,Silt,Barley,0.91,23.0,143.3,66.4,13.5,5:00 AM - 8:00 AM,9581.0,Drip Irrigation,Cotton,MOP,Seaweed Extract,1767.7,,,,958.1
Tamil Nadu,South,Silt,Rice,8.02,21.3,222.8,47.0,3.6,7:00 PM - 10:00 PM,3541.1,Furrow Irrigation,Groundnut,MOP,Cow Manure,6862.3,10000.0,1.25,900.0,354.11
Punjab,North,Saline,Cotton,7.24,23.2,125.8,80.2,13.8,7:00 PM - 10:00 PM,9315.9,Drip Irrigation,Wheat,Biofertilizer,Neem Cake,1073.3,5000.0,0.85,600.0,931.5899999999999
Gujarat,West,Clay,Cotton,9.88,26.1,129.1,85.6,8.9,4:00 PM - 7:00 PM,8271.9,Drip Irrigation,Rice,Biofertilizer,Cow Manure,2904.2,5000.0,0.85,600.0,827.1899999999999
Punjab,North,Sandy,Sugarcane,1.45,30.9,243.7,74.8,5.4,4:00 PM - 7:00 PM,2392.0,Sprinkler Irrigation,Groundnut,Vermicompost,Cow Manure,7030.0,120000.0,1.3,1500.0,239.2
Karnataka,South,Peaty,Pulses,1.34,15.1,243.7,46.3,12.6,4:00 PM - 7:00 PM,9357.2,Surface Irrigation,Groundnut,Urea,Seaweed Extract,3421.8,3000.0,0.75,400.0,935.72
Punjab,North,Silt,Rice,5.21,36.9,185.8,61.2,13.4,7:00 PM - 10:00 PM,4749.2,Surface Irrigation,Rice,Compost,Seaweed Extract,4774.9,10000.0,1.25,900.0,474.91999999999996
Rajasthan,West,Loamy,Sugarcane,8.81,19.3,194.9,82.7,6.7,4:00 PM - 7:00 PM,1346.6,Drip Irrigation,Barley,Urea,Cow Manure,620.3,120000.0,1.3,1500.0,134.66
Haryana,North,Peaty,Groundnut,2.29,23.0,126.8,61.5,10.0,4:00 PM - 7:00 PM,4364.5,Furrow Irrigation,Wheat,Biofertilizer,Cow Manure,4778.8,,,,436.45
Rajasthan,West,Clay,Rice,8.84,32.9,183.9,60.7,5.1,7:00 PM - 10:00 PM,3043.4,Surface Irrigation,Groundnut,MOP,Green Manure,7465.3,10000.0,1.25,900.0,304.34000000000003
Uttar Pradesh,North,Silt,Wheat,9.35,30.2,269.9,66.1,9.9,7:00 PM - 10:00 PM,7204.3,Drip Irrigation,Cotton,DAP,Cow Manure,7215.1,8000.0,1.15,450.0,720.4300000000001
Punjab,North,Sandy,Barley,6.27,36.4,180.7,43.0,3.2,5:00 AM - 8:00 AM,9003.1,Sprinkler Irrigation,Pulses,Compost,Bone Meal,4461.2,,,,900.3100000000001
Haryana,North,Saline,Tea,5.15,24.6,166.0,40.9,5.2,4:00 PM - 7:00 PM,7880.0,Surface Irrigation,Cotton,Urea,Green Manure,4799.2,4000.0,1.05,700.0,788.0
Maharashtra,West,Silt,Barley,2.23,23.6,103.9,80.8,3.9,7:00 PM - 10:00 PM,6325.8,Surface Irrigation,Sugarcane,Urea,Bone Meal,3450.6,,,,632.58
West Bengal,East,Saline,Tea,6.02,18.8,103.8,58.1,13.5,4:00 PM - 7:00 PM,4041.0,Drip Irrigation,Rice,Vermicompost,Cow Manure,859.2,4000.0,1.05,700.0,404.1
Karnataka,South,Saline,Groundnut,9.86,28.8,118.8,76.4,9.8,7:00 PM - 10:00 PM,4149.3,Furrow Irrigation,Sugarcane,Biofertilizer,Cow Manure,4057.2,,,,414.93
Punjab,North,Sandy,Tea,6.75,21.2,89.1,51.2,11.9,4:00 PM - 7:00 PM,1000.3,Drip Irrigation,Rice,Biofertilizer,Seaweed Extract,7622.6,4000.0,1.05,700.0,100.03
Karnataka,South,Peaty,Tea,6.55,25.3,134.8,87.0,2.7,5:00 AM - 8:00 AM,2255.2,Drip Irrigation,Soybean,Compost,Cow Manure,6321.7,4000.0,1.05,700.0,225.51999999999998
Haryana,North,Silt,Groundnut,8.1,23.8,142.6,41.7,8.6,4:00 PM - 7:00 PM,4338.1,Drip Irrigation,Groundnut,DAP,Neem Cake,6270.0,,,,433.81000000000006
Rajasthan,West,Loamy,Wheat,8.83,23.1,185.9,73.7,5.0,4:00 PM - 7:00 PM,5660.6,Drip Irrigation,Rice,DAP,Cow Manure,4031.0,8000.0,1.15,450.0,566.0600000000001
Uttar Pradesh,North,Saline,Barley,1.65,34.8,289.8,53.9,4.2,7:00 PM - 10:00 PM,3392.6,Surface Irrigation,Rice,Vermicompost,Neem Cake,684.6,,,,339.26
Punjab,North,Silt,Soybean,2.11,23.8,294.7,61.6,8.9,5:00 AM - 8:00 AM,7055.2,Surface Irrigation,Rice,Biofertilizer,Neem Cake,4297.7,,,,705.52
Madhya Pradesh,Central,Silt,Tea,7.61,38.0,57.8,41.0,3.9,7:00 PM - 10:00 PM,8812.0,Surface Irrigation,Groundnut,Urea,Green Manure,693.4,4000.0,1.05,700.0,881.2
Madhya Pradesh,Central,Silt,Groundnut,8.87,36.9,188.7,64.1,9.3,4:00 PM - 7:00 PM,1310.6,Drip Irrigation,Groundnut,Urea,Bone Meal,3538.4,,,,131.06
Maharashtra,West,Silt,Soybean,2.86,25.2,155.0,58.1,4.8,7:00 PM - 10:00 PM,9223.0,Sprinkler Irrigation,Groundnut,MOP,Neem Cake,7086.1,,,,922.3
Rajasthan,West,Sandy,Soybean,2.05,23.0,100.3,62.6,4.6,4:00 PM - 7:00 PM,5201.2,Furrow Irrigation,Cotton,MOP,Green Manure,3597.0,,,,520.12
Punjab,North,Silt,Soybean,1.29,27.2,119.9,87.6,8.5,5:00 AM - 8:00 AM,3465.7,Drip Irrigation,Pulses,MOP,Green Manure,1030.1,,,,346.57
Uttar Pradesh,North,Clay,Maize,0.81,30.4,106.7,67.1,8.0,5:00 AM - 8:00 AM,3917.5,Surface Irrigation,Cotton,Urea,Cow Manure,5972.5,12000.0,1.1,500.0,391.75
Rajasthan,West,Sandy,Maize,8.5,39.4,238.3,80.3,8.5,4:00 PM - 7:00 PM,9240.7,Sprinkler Irrigation,Sugarcane,Urea,Neem Cake,504.2,12000.0,1.1,500.0,924.07
Uttar Pradesh,North,Clay,Sugarcane,7.89,32.1,100.8,86.6,5.2,5:00 AM - 8:00 AM,7668.7,Surface Irrigation,Barley,MOP,Green Manure,4274.8,120000.0,1.3,1500.0,766.87
Karnataka,South,Clay,Rice,1.9,17.4,255.1,56.1,13.7,4:00 PM - 7:00 PM,8432.7,Sprinkler Irrigation,Soybean,Biofertilizer,Green Manure,5798.5,10000.0,1.25,900.0,843.2700000000001
Haryana,North,Sandy,Tea,1.48,29.7,71.0,78.1,6.5,4:00 PM - 7:00 PM,5017.9,Drip Irrigation,Pulses,DAP,Neem Cake,3012.0,4000.0,1.05,700.0,501.78999999999996
Tamil Nadu,South,Clay,Soybean,3.31,35.0,58.1,80.3,4.0,4:00 PM - 7:00 PM,4443.1,Surface Irrigation,Maize,Vermicompost,Cow Manure,5908.9,,,,444.31000000000006
Karnataka,South,Sandy,Tea,3.54,32.3,81.8,53.6,2.2,4:00 PM - 7:00 PM,5276.1,Surface Irrigation,Pulses,Compost,Green Manure,6454.7,4000.0,1.05,700.0,527.61
Madhya Pradesh,Central,Loamy,Pulses,7.25,23.6,207.5,60.6,3.4,5:00 AM - 8:00 AM,6535.7,Drip Irrigation,Cotton,MOP,Neem Cake,3575.8,3000.0,0.75,400.0,653.5699999999999
Madhya Pradesh,Central,Silt,Soybean,8.34,31.5,134.3,73.3,2.8,7:00 PM - 10:00 PM,6804.8,Sprinkler Irrigation,Soybean,Compost,Cow Manure,4824.3,,,,680.48
Tamil Nadu,South,Peaty,Maize,6.53,39.4,225.8,50.2,4.7,5:00 AM - 8:00 AM,1530.4,Furrow Irrigation,Cotton,MOP,Seaweed Extract,4808.1,12000.0,1.1,500.0,153.04000000000002
Karnataka,South,Clay,Groundnut,1.46,25.6,297.1,58.9,13.4,5:00 AM - 8:00 AM,9114.6,Sprinkler Irrigation,Rice,Compost,Bone Meal,3617.6,,,,911.46
Maharashtra,West,Sandy,Rice,4.95,31.8,196.1,62.0,2.8,5:00 AM - 8:00 AM,7359.0,Furrow Irrigation,Barley,Urea,Green Manure,5206.0,10000.0,1.25,900.0,735.9
Rajasthan,West,Clay,Wheat,1.52,28.3,57.6,46.1,5.9,5:00 AM - 8:00 AM,5139.1,Drip Irrigation,Wheat,Urea,Bone Meal,5800.5,8000.0,1.15,450.0,513.9100000000001
Haryana,North,Clay,Soybean,6.47,36.9,121.9,77.8,12.1,5:00 AM - 8:00 AM,6233.9,Surface Irrigation,Cotton,Biofertilizer,Neem Cake,7079.4,,,,623.39
West Bengal,East,Sandy,Soybean,6.18,32.4,283.0,86.1,6.0,7:00 PM - 10:00 PM,1598.1,Sprinkler Irrigation,Groundnut,Compost,Bone Meal,5887.4,,,,159.81
Madhya Pradesh,Central,Clay,Sugarcane,7.65,29.5,116.3,86.0,2.2,4:00 PM - 7:00 PM,6948.7,Sprinkler Irrigation,Barley,DAP,Neem Cake,2276.1,120000.0,1.3,1500.0,694.87
Maharashtra,West,Saline,Soybean,4.52,37.4,52.2,49.3,13.4,4:00 PM - 7:00 PM,1649.4,Drip Irrigation,Barley,MOP,Bone Meal,7339.4,,,,164.94
Madhya Pradesh,Central,Saline,Maize,7.5,30.6,108.5,81.0,6.5,7:00 PM - 10:00 PM,1808.4,Surface Irrigation,Barley,Urea,Neem Cake,6074.2,12000.0,1.1,500.0,180.84
Gujarat,West,Saline,Maize,9.29,25.1,238.4,74.9,11.3,7:00 PM - 10:00 PM,5573.9,Furrow Irrigation,Wheat,DAP,Neem Cake,7929.7,12000.0,1.1,500.0,557.39
Gujarat,West,Saline,Soybean,6.27,34.0,68.7,77.2,6.7,4:00 PM - 7:00 PM,5330.2,Furrow Irrigation,Tea,DAP,Green Manure,1004.0,,,,533.02
Uttar Pradesh,North,Loamy,Soybean,2.91,38.7,150.0,46.5,9.9,4:00 PM - 7:00 PM,8372.6,Sprinkler Irrigation,Sugarcane,MOP,Cow Manure,1154.9,,,,837.26
Karnataka,South,Sandy,Sugarcane,8.86,21.7,83.6,82.5,8.8,4:00 PM - 7:00 PM,9922.9,Furrow Irrigation,Groundnut,Compost,Cow Manure,589.3,120000.0,1.3,1500.0,992.29
Haryana,North,Saline,Groundnut,2.03,34.1,279.6,44.7,6.1,4:00 PM - 7:00 PM,5557.1,Sprinkler Irrigation,Barley,Biofertilizer,Seaweed Extract,5399.2,,,,555.71
