State,District,Soil Type,Crop,Land Area (acres),Temperature (°C),Rainfall (mm),Humidity (%),Wind Speed (km/h),Best Irrigation Time,Water Amount (Liters/hectare),Irrigation Method,Best Next Crop,Best Fertilizer,Alternative Fertilizer,Estimated Yield (kg/hectare)
Haryana,Bhopal,Sandy,Tea,1.48,29.7,71.0,78.1,6.5,Evening,5017.9,Drip Irrigation,Pulses,DAP,Neem Cake,3012.0
Tamil Nadu,Rohtak,Clay,Soybean,3.31,35.0,58.1,80.3,4.0,Evening,4443.1,Surface Irrigation,Maize,Vermicompost,Cow Manure,5908.9
Karnataka,Ludhiana,Sandy,Tea,3.54,32.3,81.8,53.6,2.2,Evening,5276.1,Surface Irrigation,Pulses,Compost,Green Manure,6454.7
Madhya Pradesh,Rohtak,Loamy,Pulses,7.25,23.6,207.5,60.6,3.4,Morning,6535.7,Drip Irrigation,Cotton,MOP,Neem Cake,3575.8
Madhya Pradesh,Pune,Silt,Soybean,8.34,31.5,134.3,73.3,2.8,Night,6804.8,Sprinkler Irrigation,Soybean,Compost,Cow Manure,4824.3
Tamil Nadu,Bangalore,Peaty,Maize,6.53,39.4,225.8,50.2,4.7,Morning,1530.4,Furrow Irrigation,Cotton,MOP,Seaweed Extract,4808.1
Karnataka,Kolkata,Clay,Groundnut,1.46,25.6,297.1,58.9,13.4,Morning,9114.6,Sprinkler Irrigation,Rice,Compost,Bone Meal,3617.6
Maharashtra,Jaipur,Sandy,Rice,4.95,31.8,196.1,62.0,2.8,Morning,7359.0,Furrow Irrigation,Barley,Urea,Green Manure,5206.0
Rajasthan,Bangalore,Clay,Wheat,1.52,28.3,57.6,46.1,5.9,Morning,5139.1,Drip Irrigation,Wheat,Urea,Bone Meal,5800.5
Haryana,Kolkata,Clay,Soybean,6.47,36.9,121.9,77.8,12.1,Morning,6233.9,Surface Irrigation,Cotton,Biofertilizer,Neem Cake,7079.4
West Bengal,Lucknow,Sandy,Soybean,6.18,32.4,283.0,86.1,6.0,Night,1598.1,Sprinkler Irrigation,Groundnut,Compost,Bone Meal,5887.4
Madhya Pradesh,Bangalore,Clay,Sugarcane,7.65,29.5,116.3,86.0,2.2,Evening,6948.7,Sprinkler Irrigation,Barley,DAP,Neem Cake,2276.1
Maharashtra,Kolkata,Saline,Soybean,4.52,37.4,52.2,49.3,13.4,Evening,1649.4,Drip Irrigation,Barley,MOP,Bone Meal,7339.4
Madhya Pradesh,Ahmedabad,Saline,Maize,7.5,30.6,108.5,81.0,6.5,Night,1808.4,Surface Irrigation,Barley,Urea,Neem Cake,6074.2
Gujarat,Chennai,Saline,Maize,9.29,25.1,238.4,74.9,11.3,Night,5573.9,Furrow Irrigation,Wheat,DAP,Neem Cake,7929.7
Gujarat,Kolkata,Saline,Soybean,6.27,34.0,68.7,77.2,6.7,Evening,5330.2,Furrow Irrigation,Tea,DAP,Green Manure,1004.0
Uttar Pradesh,Lucknow,Loamy,Soybean,2.91,38.7,150.0,46.5,9.9,Evening,8372.6,Sprinkler Irrigation,Sugarcane,MOP,Cow Manure,1154.9
Karnataka,Pune,Sandy,Sugarcane,8.86,21.7,83.6,82.5,8.8,Evening,9922.9,Furrow Irrigation,Groundnut,Compost,Cow Manure,589.3
Haryana,Pune,Saline,Groundnut,2.03,34.1,279.6,44.7,6.1,Evening,5557.1,Sprinkler Irrigation,Barley,Biofertilizer,Seaweed Extract,5399.2
Uttar Pradesh,Bangalore,Saline,Tea,1.83,39.2,59.0,60.7,8.0,Morning,9792.5,Drip Irrigation,Tea,MOP,Green Manure,2708.7
West Bengal,Rohtak,Clay,Wheat,2.67,15.3,182.5,46.8,2.2,Evening,3648.3,Furrow Irrigation,Pulses,Biofertilizer,Bone Meal,760.1
West Bengal,Ludhiana,Sandy,Maize,8.91,30.4,275.2,44.0,3.2,Evening,7493.3,Drip Irrigation,Rice,Biofertilizer,Neem Cake,2800.2
Tamil Nadu,Jaipur,Saline,Barley,2.14,17.7,122.2,89.7,14.8,Evening,8649.0,Surface Irrigation,Groundnut,Urea,Seaweed Extract,2483.9
Uttar Pradesh,Bhopal,Peaty,Wheat,0.71,17.9,240.1,83.7,9.5,Night,9793.9,Surface Irrigation,Soybean,DAP,Cow Manure,2138.3
Rajasthan,Chennai,Silt,Pulses,6.07,30.9,79.4,74.5,5.3,Evening,7363.6,Sprinkler Irrigation,Sugarcane,Compost,Green Manure,3760.8
Maharashtra,Bhopal,Loamy,Groundnut,6.82,15.7,249.9,76.6,3.4,Morning,7699.1,Furrow Irrigation,Rice,Urea,Seaweed Extract,3910.0
Maharashtra,Pune,Saline,Maize,4.17,37.7,193.4,63.1,9.6,Morning,5882.5,Surface Irrigation,Maize,Biofertilizer,Cow Manure,5160.5
Punjab,Jaipur,Loamy,Wheat,2.98,35.3,199.9,40.1,7.2,Evening,3283.2,Sprinkler Irrigation,Rice,MOP,Green Manure,5689.5
Karnataka,Jaipur,Sandy,Tea,3.0,35.3,119.4,73.0,2.4,Night,9174.7,Drip Irrigation,Pulses,Compost,Neem Cake,3350.3
West Bengal,Bangalore,Saline,Groundnut,8.29,27.8,89.2,64.5,9.8,Night,4306.8,Surface Irrigation,Pulses,Vermicompost,Cow Manure,2830.2
Tamil Nadu,Pune,Saline,Sugarcane,8.68,25.4,299.8,76.4,9.4,Morning,5094.3,Furrow Irrigation,Barley,Biofertilizer,Green Manure,6187.5
Haryana,Chennai,Sandy,Cotton,0.77,26.5,186.5,48.1,10.7,Evening,4022.6,Drip Irrigation,Cotton,Compost,Green Manure,5122.7
Uttar Pradesh,Bangalore,Silt,Rice,1.58,17.5,84.7,80.1,4.7,Evening,9759.8,Surface Irrigation,Wheat,Vermicompost,Seaweed Extract,772.0
Gujarat,Rohtak,Silt,Wheat,8.52,24.0,237.5,58.6,10.4,Morning,8557.8,Furrow Irrigation,Sugarcane,Compost,Seaweed Extract,7221.8
Punjab,Kolkata,Clay,Barley,2.4,29.6,219.1,53.9,11.4,Night,7290.6,Surface Irrigation,Maize,Compost,Green Manure,4240.6
Tamil Nadu,Lucknow,Loamy,Barley,4.91,18.3,298.1,46.4,9.9,Night,6449.3,Furrow Irrigation,Cotton,Urea,Bone Meal,1312.1
Maharashtra,Pune,Peaty,Maize,8.45,20.6,138.3,87.7,13.8,Morning,8135.9,Furrow Irrigation,Tea,Biofertilizer,Neem Cake,1493.0
Maharashtra,Bhopal,Sandy,Maize,8.83,19.9,253.5,85.3,5.8,Night,6245.2,Surface Irrigation,Soybean,DAP,Seaweed Extract,1591.2
Haryana,Bhopal,Sandy,Rice,6.08,33.6,273.3,84.3,13.8,Morning,6218.8,Drip Irrigation,Groundnut,Urea,Green Manure,1706.5
West Bengal,Bhopal,Clay,Tea,3.05,26.5,287.4,56.6,12.9,Evening,7961.9,Furrow Irrigation,Wheat,DAP,Cow Manure,4874.8
Madhya Pradesh,Bangalore,Sandy,Soybean,6.22,28.6,104.2,89.3,11.3,Evening,4149.1,Furrow Irrigation,Sugarcane,DAP,Seaweed Extract,4650.1
Uttar Pradesh,Chennai,Saline,Sugarcane,3.02,37.2,264.9,50.3,7.2,Night,3064.0,Furrow Irrigation,Soybean,Urea,Bone Meal,4368.3
Gujarat,Chennai,Saline,Wheat,3.72,25.1,112.3,86.9,2.3,Morning,6323.5,Furrow Irrigation,Cotton,MOP,Bone Meal,2435.5
Gujarat,Ludhiana,Silt,Groundnut,1.87,23.6,168.9,42.4,7.7,Evening,5307.9,Furrow Irrigation,Cotton,Biofertilizer,Seaweed Extract,1928.0
Karnataka,Ludhiana,Loamy,Tea,6.14,18.4,168.5,69.3,11.2,Morning,1729.3,Drip Irrigation,Maize,Biofertilizer,Seaweed Extract,844.5
Uttar Pradesh,Pune,Clay,Rice,5.42,21.4,192.9,56.0,5.0,Night,8505.0,Surface Irrigation,Cotton,DAP,Bone Meal,1365.8
Madhya Pradesh,Ahmedabad,Peaty,Cotton,5.66,16.0,82.3,68.7,13.6,Night,3356.2,Sprinkler Irrigation,Wheat,DAP,Seaweed Extract,2453.2
Rajasthan,Jaipur,Sandy,Groundnut,1.34,36.4,70.0,67.9,3.7,Night,2571.8,Sprinkler Irrigation,Maize,Vermicompost,Seaweed Extract,6352.9
Madhya Pradesh,Bhopal,Loamy,Tea,6.97,33.4,145.3,68.3,3.9,Morning,9687.9,Sprinkler Irrigation,Cotton,MOP,Cow Manure,5432.5
Haryana,Chennai,Saline,Soybean,3.11,34.0,286.9,44.2,14.9,Morning,2423.3,Drip Irrigation,Sugarcane,Compost,Green Manure,2011.0
West Bengal,Chennai,Loamy,Soybean,1.07,20.4,279.2,84.6,5.8,Morning,2219.8,Sprinkler Irrigation,Groundnut,Urea,Cow Manure,5967.9
West Bengal,Ludhiana,Loamy,Groundnut,7.98,17.8,282.7,82.9,5.7,Evening,4245.6,Drip Irrigation,Soybean,Urea,Seaweed Extract,6013.1
Karnataka,Rohtak,Sandy,Soybean,4.01,22.8,132.7,75.7,14.1,Morning,1867.8,Surface Irrigation,Pulses,Biofertilizer,Neem Cake,5020.8
West Bengal,Lucknow,Clay,Soybean,3.51,27.6,204.2,41.3,2.9,Morning,2529.4,Surface Irrigation,Wheat,Vermicompost,Cow Manure,2056.3
